location_id,region,country,population,density
101,Northland,New Zealand,"201,500",16.11
102,Auckland,New Zealand,"1,695,200",343.09
103,Waikato,New Zealand,"513,800",21.5
104,Bay of Plenty,New Zealand,"347,700",28.8
105,Gisborne,New Zealand,"52,100",6.21
106,Hawke's Bay,New Zealand,"182,700",12.92
107,Taranaki,New Zealand,"127,300",17.55
108,Manawatū-Whanganui,New Zealand,"258,200",11.62
109,Wellington,New Zealand,"543,500",67.52
110,Tasman,New Zealand,"58,700",6.1
111,Nelson,New Zealand,"54,500",129.15
112,Marlborough,New Zealand,"51,900",4.94
113,West Coast,New Zealand,"32,700",1.41
114,Canterbury,New Zealand,"655,000",14.72
115,Otago,New Zealand,"246,000",7.89
116,Southland,New Zealand,"102,400",3.28